id,category,enemy,weakness,resistance,runes,spell_name,spell_type,enemy_hp_delta,player_hp_delta,status_effects,chaos
rune-goblin-03925,enemy_specific,Queue Goblin,bell,flame,coin + thread + bell + key,Refund Goblin Invocation,merchant_summon,-1,0,merchant_summoned|enemy_distracted|weakness_triggered,10
rune-goblin-02051,combo_spells,Emotional Door,wave,jagged_line,tooth + bone + three_dots,Triplicate Bone Committee,skeleton_swarm,-2,0,enemy_frightened|enemy_swarmed,7
rune-goblin-00191,basic_spells,Stapler Hydra,jagged_line,thread,flame + key,Lock-Picking Hot Regret of Minor Regret,burn_danger_unlock_secret,-2,0,enemy_burned|room_unlocked,5
rune-goblin-03185,combo_spells,PDF Wraith,mirror,tooth,eye + leaf + bone,Prophetic Spore Suspicious Pupil,decay_heal,0,1,player_regenerating|decay_risk,6
rune-goblin-03299,cursed_spells,Tax Wraith,key,bone,spiral + broken_mark,Cursed Tomorrowish Future Knot of Minor Regret,prophecy_loop,-1,0,enemy_confused|player_cursed,8
rune-goblin-02755,combo_spells,Emotional Door,key,jagged_line,wave + key,Latch of Feelings,emotional_unlock,-3,0,room_unlocked|enemy_softened,7
rune-goblin-00065,basic_spells,Emotional Door,key,jagged_line,jagged_line + tooth + bell,Toothy Spark,cut_lightning_bite_hunger,-2,0,enemy_cut|enemy_intimidated|enemy_startled|enemy_resisted,5
rune-goblin-00329,basic_spells,Mirror Fungus,confusion,direct_damage,flame + bell + spiral,Ashy Pocket Bonfire Clause,burn_danger_summon_alarm,-3,0,enemy_burned|enemy_startled|enemy_confused|enemy_weakened|enemy_resisted,6
rune-goblin-01954,basic_spells,Receipt Basilisk,flame,coin,thread + leaf + closed_circle + three_dots,Apology Ward Gambit,bind_stitch_growth_heal_poison,-1,0,enemy_bound|player_regenerating|player_shielded,7
rune-goblin-04211,enemy_specific,Queue Goblin,bell,flame,bell + coin,Ding-Dong Debt Merchant,merchant_summon,-1,0,merchant_summoned|enemy_distracted|weakness_triggered,8
rune-goblin-01882,basic_spells,Lantern Slug,leaf,flame,tooth + three_dots + jagged_line + wave,Slug Bug Committee Gambit,bite_hunger_swarm_multiply,-3,0,enemy_intimidated|enemy_swarmed|enemy_cut,7
rune-goblin-04444,enemy_specific,Emotional Door,wave,jagged_line,three_dots + wave + eye,Prophetic Lint Soft Splash,swarm_multiply_water_emotion,-2,0,enemy_swarmed|enemy_softened|enemy_revealed|enemy_weakened|weakness_triggered,6
rune-goblin-00440,basic_spells,Calendar Beast,spiral,flame,spiral + coin,Tomorrowish Tiny Bribe,prophecy_loop_greed_trade,-2,0,enemy_confused|coin_offered|enemy_weakened,7
rune-goblin-02686,combo_spells,Tax Wraith,coin,bone,eye + mirror,Weakness Selfie,reveal_weakness,0,0,enemy_revealed|enemy_weakened,6
rune-goblin-02824,combo_spells,Queue Goblin,coin,flame,wave + jagged_line + mirror,Mirror Says No,reflect_damage,-1,0,reflect_ready|enemy_cut,6
rune-goblin-04378,enemy_specific,Lantern Slug,closed_circle,flame,broken_mark + mirror + closed_circle + leaf,Broken Noisy Mirror Protocol,reflect_reverse_ward_trap,-1,-1,reflect_ready|player_shielded|player_regenerating|enemy_weakened|weakness_triggered,10
rune-goblin-01116,basic_spells,Receipt Basilisk,flame,coin,flame + bone,Pickle Ossuary Grin Gambit,burn_danger_death_fear,-4,0,enemy_burned|enemy_frightened|enemy_weakened,5
rune-goblin-04970,invalid_edge_cases,Mirror Fungus,confusion,direct_damage,,Blank Spell of Responsible Refusal,invalid_spell,0,0,spell_fizzled|syntax_warning,2
rune-goblin-00364,basic_spells,PDF Wraith,bell,tooth,wave + bell + flame,Overdramatic Complaint Chime Clause,water_emotion_summon_alarm,-3,0,enemy_softened|enemy_startled|enemy_burned|enemy_weakened,7
rune-goblin-02792,combo_spells,Button Oracle,coin,thread,flame + closed_circle,Cinder Tortoise Circle,burning_shield,-1,0,player_shielded|enemy_burned,6
rune-goblin-04665,invalid_edge_cases,Stapler Hydra,jagged_line,thread,spiral + spiral + spiral + spiral + spiral + spiral,Uncastable Rune Soup,invalid_spell,0,0,spell_fizzled|syntax_warning,2
rune-goblin-01392,basic_spells,Mirror Fungus,mirror,direct_damage,eye + three_dots,Coupon Oracle Wink Gambit,reveal_prophecy_swarm_multiply,0,0,enemy_revealed|enemy_swarmed|enemy_resisted,3
rune-goblin-00252,basic_spells,Sock Mimic,bell,wave,mirror + bell,Dingy Alarm Gremlin of Minor Regret,reflect_reverse_summon_alarm,-1,0,reflect_ready|enemy_startled|enemy_weakened,6
rune-goblin-04029,enemy_specific,Receipt Basilisk,mirror,coin,coin + mirror + flame + bell,Refund Goblin Invocation,merchant_summon,-1,0,merchant_summoned|enemy_distracted|enemy_resisted|weakness_triggered,9
rune-goblin-04790,invalid_edge_cases,Sock Mimic,bell,wave,flame,Blank Spell of Responsible Refusal,invalid_spell,0,0,spell_fizzled|syntax_warning,1
rune-goblin-00356,basic_spells,PDF Wraith,bell,tooth,eye + coin + closed_circle + leaf,Mossy Leaf of Minor Regret,reveal_prophecy_greed_trade,0,0,enemy_revealed|coin_offered|player_shielded,7
rune-goblin-00921,basic_spells,Sock Mimic,bell,wave,wave + eye,Brass Inspection Blink Protocol,water_emotion_reveal_prophecy,0,0,enemy_softened|enemy_revealed,4
rune-goblin-01164,basic_spells,PDF Wraith,mirror,tooth,flame + tooth,Toothy Flame Clause,burn_danger_bite_hunger,-2,0,enemy_burned|enemy_intimidated|enemy_resisted,3
rune-goblin-03543,cursed_spells,Lantern Slug,closed_circle,flame,broken_mark + eye + three_dots,Unlicensed Prophetic Bug Committee,reveal_prophecy_swarm_multiply,-1,0,enemy_revealed|enemy_swarmed|player_cursed,9
rune-goblin-04816,invalid_edge_cases,Calendar Beast,spiral,flame,broken_mark + broken_mark,Syntax Goblin Tripwire,invalid_spell,0,0,spell_fizzled|syntax_warning,3
rune-goblin-04018,enemy_specific,Emotional Door,key,jagged_line,eye + jagged_line + key,Blinking Biscuit Knife Weather,reveal_prophecy_cut_lightning,-2,0,enemy_revealed|enemy_cut|room_unlocked|enemy_weakened|enemy_resisted,7
rune-goblin-04389,enemy_specific,Lantern Slug,closed_circle,flame,broken_mark + flame + closed_circle,Unlicensed Burning Safety Hoop,burning_shield,-2,0,player_shielded|enemy_burned|weakness_triggered|player_cursed,8
rune-goblin-02958,combo_spells,Receipt Basilisk,mirror,coin,flame + closed_circle,Slug Goblin Bowl Gambit,burning_shield,-1,0,player_shielded|enemy_burned,6
rune-goblin-00020,basic_spells,Calendar Beast,eye,flame,three_dots + flame,Triplicate Tiny Crowd Clause,swarm_multiply_burn_danger,-2,0,enemy_swarmed|enemy_burned|enemy_resisted,3
rune-goblin-03886,cursed_spells,Tax Wraith,key,bone,closed_circle + flame + broken_mark,Broken Burning Safety Hoop,burning_shield,-1,0,player_shielded|enemy_burned|player_cursed,10
rune-goblin-02476,combo_spells,Sock Mimic,bell,wave,mirror + jagged_line + eye,Polished Lightning Refund,reflect_damage,-1,0,reflect_ready|enemy_cut,7
rune-goblin-00561,basic_spells,Sock Mimic,bell,wave,leaf + wave,Emotional Tear Current Clause,growth_heal_poison_water_emotion,0,0,player_regenerating|enemy_softened,4
rune-goblin-03278,cursed_spells,Calendar Beast,spiral,flame,tooth + broken_mark,Unlicensed Toothy Fang Lecture of Minor Regret,bite_hunger,-2,0,enemy_intimidated|player_cursed,7
rune-goblin-04727,invalid_edge_cases,PDF Wraith,bell,tooth,jagged_line + system_override,Illegal Doodle Complaint,invalid_spell,0,0,spell_fizzled|syntax_warning,1
rune-goblin-01765,basic_spells,Calendar Beast,spiral,flame,jagged_line + three_dots + bell + key,Ringing Whisper Bug Committee,cut_lightning_swarm_multiply,-3,0,enemy_cut|enemy_swarmed|enemy_startled,7
rune-goblin-02611,combo_spells,Lantern Slug,closed_circle,flame,wave + key,Latch of Feelings,emotional_unlock,0,0,room_unlocked|enemy_softened,6
rune-goblin-03807,cursed_spells,PDF Wraith,bell,tooth,broken_mark + jagged_line,Broken Helmet Spark Gambit,cut_lightning,-2,0,enemy_cut|player_cursed,8
rune-goblin-03883,cursed_spells,Emotional Door,key,jagged_line,bell + spiral + wave + broken_mark,Broken Unlicensed Bell Protocol,summon_alarm_prophecy_loop,-2,0,enemy_startled|enemy_confused|enemy_softened|player_cursed,10
rune-goblin-04922,invalid_edge_cases,Queue Goblin,bell,flame,mirror + mirror + mirror + mirror + mirror,Uncastable Rune Soup,invalid_spell,0,0,spell_fizzled|syntax_warning,2
rune-goblin-03173,combo_spells,Mirror Fungus,confusion,direct_damage,eye + mirror,Reflection of Embarrassing Truth,reveal_weakness,0,0,enemy_revealed|enemy_weakened,6
rune-goblin-03990,enemy_specific,Button Oracle,eye,thread,eye + mirror + broken_mark,Unlicensed Shiny Duplicate of Cursed Spoon,reveal_weakness,-2,0,enemy_revealed|enemy_weakened|weakness_triggered|player_cursed,9
rune-goblin-03909,enemy_specific,Emotional Door,key,jagged_line,eye + key + bell,Ceremonial Brass Attention,reveal_prophecy_unlock_secret,-1,0,enemy_revealed|room_unlocked|enemy_startled|enemy_weakened|weakness_triggered,7
rune-goblin-01386,basic_spells,Emotional Door,key,jagged_line,leaf + spiral + tooth + key,Left-Handed Bite Protocol,growth_heal_poison_prophecy_loop,-3,0,player_regenerating|enemy_confused|enemy_intimidated|enemy_weakened,8
rune-goblin-01084,basic_spells,Lantern Slug,closed_circle,flame,closed_circle + wave + three_dots,Many Safety Hoop of Minor Regret,ward_trap_water_emotion,-2,0,player_shielded|enemy_softened|enemy_swarmed|enemy_weakened,7
rune-goblin-02368,combo_spells,Calendar Beast,spiral,flame,wave + bone + three_dots,Crowded Tear Current,skeleton_swarm,-2,0,enemy_frightened|enemy_swarmed,8
rune-goblin-01048,basic_spells,Button Oracle,coin,thread,eye + bell + thread + leaf,Sprouting Thread,reveal_prophecy_summon_alarm,0,0,enemy_revealed|enemy_startled|enemy_bound,6
rune-goblin-00070,basic_spells,Emotional Door,wave,jagged_line,eye + jagged_line,Bright-Eyed Whisper Spark,reveal_prophecy_cut_lightning,-1,0,enemy_revealed|enemy_cut|enemy_resisted,4
rune-goblin-00444,basic_spells,Tax Wraith,coin,bone,key + tooth,Snack-Minded Coupon Tooth,unlock_secret_bite_hunger,-1,0,room_unlocked|enemy_intimidated,4
rune-goblin-00036,basic_spells,Emotional Door,key,jagged_line,three_dots + bell + leaf,Ceremonial Ding-Dong Hex of Minor Regret,swarm_multiply_summon_alarm,-1,0,enemy_swarmed|enemy_startled|player_regenerating,5
rune-goblin-03346,cursed_spells,Mold Knight,leaf,wave,bone + mirror + wave + broken_mark,Cracked Knuckly Toast Polished Nope,death_fear_reflect_reverse,0,0,enemy_frightened|reflect_ready|enemy_softened|enemy_resisted|player_cursed,9
rune-goblin-00898,basic_spells,Sock Mimic,tooth,wave,coin + tooth + leaf,Toothy Goblin Snack of Minor Regret,greed_trade_bite_hunger,-2,0,coin_offered|enemy_intimidated|player_regenerating|enemy_weakened,6
rune-goblin-00807,basic_spells,Sock Mimic,bell,wave,eye + coin,Unlicensed Suspicious Pupil Protocol,reveal_prophecy_greed_trade,0,0,enemy_revealed|coin_offered,4
rune-goblin-03784,cursed_spells,Queue Goblin,bell,flame,broken_mark + key + wave,Cracked Latch of Feelings,emotional_unlock,-1,-1,room_unlocked|enemy_softened|player_cursed,10
rune-goblin-00071,basic_spells,Calendar Beast,eye,flame,leaf + jagged_line,Angry Tiny Herb Clause,growth_heal_poison_cut_lightning,-2,0,player_regenerating|enemy_cut,4
rune-goblin-01542,basic_spells,Mold Knight,flame,wave,thread + spiral + bell,Dust Mayor Future Knot Gambit,bind_stitch_prophecy_loop,-1,0,enemy_bound|enemy_confused|enemy_startled,7
rune-goblin-01167,basic_spells,Mirror Fungus,confusion,direct_damage,eye + bone,Grave Ossuary Grin Clause,reveal_prophecy_death_fear,-1,0,enemy_revealed|enemy_frightened|enemy_weakened|enemy_resisted,5
rune-goblin-03408,cursed_spells,Tax Wraith,key,bone,thread + tooth + broken_mark,Cursed Needly Whisper Goblin Snack,bind_and_bite,-2,-1,enemy_bound|enemy_intimidated|player_cursed,10
rune-goblin-04556,enemy_specific,Emotional Door,wave,jagged_line,wave + eye + jagged_line,Left-Handed Wave Protocol,water_emotion_reveal_prophecy,-2,0,enemy_softened|enemy_revealed|enemy_cut|enemy_weakened|enemy_resisted,6
rune-goblin-04649,invalid_edge_cases,Lantern Slug,leaf,flame,spiral + goat_invoice,Blank Spell of Responsible Refusal,invalid_spell,0,0,spell_fizzled|syntax_warning,1
rune-goblin-04309,enemy_specific,Emotional Door,wave,jagged_line,bell + wave + key + spiral,Door Sob Unlock,emotional_unlock,-2,0,room_unlocked|enemy_softened|weakness_triggered,9
rune-goblin-00282,basic_spells,Button Oracle,eye,thread,closed_circle + eye + wave + jagged_line,Closed Spoon Soft Splash,ward_trap_reveal_prophecy,-3,0,player_shielded|enemy_revealed|enemy_softened|enemy_weakened,8
rune-goblin-01731,basic_spells,Emotional Door,key,jagged_line,jagged_line + wave + bell,Sharp Complaint of Petty Apology,cut_lightning_water_emotion,-1,0,enemy_cut|enemy_softened|enemy_startled|enemy_resisted,5
rune-goblin-00698,basic_spells,Receipt Basilisk,mirror,coin,closed_circle + bell + mirror,Mildly Illegal Brass Attention Protocol,ward_trap_summon_alarm,-1,0,player_shielded|enemy_startled|reflect_ready|enemy_weakened,7
rune-goblin-01767,basic_spells,Tax Wraith,key,bone,thread + leaf + coin + closed_circle,Mossy Moss Patch,bind_stitch_growth_heal_poison,0,0,enemy_bound|player_regenerating|coin_offered,7
rune-goblin-02283,combo_spells,Receipt Basilisk,mirror,coin,leaf + thread + bone,Moss on Old Bones,decay_heal,0,1,player_regenerating|decay_risk,7
rune-goblin-04923,invalid_edge_cases,Mirror Fungus,mirror,direct_damage,banana + tooth,Uncastable Rune Soup,invalid_spell,0,0,spell_fizzled|syntax_warning,1
rune-goblin-03727,cursed_spells,Queue Goblin,coin,flame,flame + broken_mark + closed_circle,Cursed Looping Ember Cage,burning_shield,-2,0,player_shielded|enemy_burned|player_cursed,9
rune-goblin-00054,basic_spells,Mirror Fungus,confusion,direct_damage,flame + spiral + bone,Petty Spiral Protocol,burn_danger_prophecy_loop,-3,0,enemy_burned|enemy_confused|enemy_frightened|enemy_weakened|enemy_resisted,5
rune-goblin-03108,combo_spells,Button Oracle,coin,thread,mirror + leaf + jagged_line,Mirror Says No,reflect_damage,-1,0,reflect_ready|enemy_cut,7
rune-goblin-02131,combo_spells,Calendar Beast,eye,flame,thread + bell + tooth,Yarn Fang Clamp,bind_and_bite,-2,0,enemy_bound|enemy_intimidated,6
rune-goblin-00779,basic_spells,Stapler Hydra,jagged_line,thread,mirror + closed_circle + spiral + three_dots,Wobbly Bug Committee Protocol,reflect_reverse_ward_trap,-2,0,reflect_ready|player_shielded|enemy_confused,7
rune-goblin-01738,basic_spells,Lantern Slug,leaf,flame,mirror + flame,Sock Snack Fire Gambit,reflect_reverse_burn_danger,-1,0,reflect_ready|enemy_burned|enemy_resisted,4
rune-goblin-03531,cursed_spells,Mirror Fungus,mirror,direct_damage,bell + broken_mark + coin,Cursed Refund Goblin Invocation,merchant_summon,0,0,merchant_summoned|enemy_distracted|player_cursed,9
rune-goblin-03155,combo_spells,Queue Goblin,coin,flame,coin + mirror + spiral + bell,Refund Goblin Invocation,merchant_summon,-1,0,merchant_summoned|enemy_distracted,9
rune-goblin-00479,basic_spells,Sock Mimic,bell,wave,leaf + tooth,Toothy Bite Clause,growth_heal_poison_bite_hunger,-1,0,player_regenerating|enemy_intimidated,4
rune-goblin-03479,cursed_spells,Emotional Door,wave,jagged_line,wave + broken_mark + spiral,Cursed Tiny Guilt Tide Protocol,water_emotion_prophecy_loop,-2,-1,enemy_softened|enemy_confused|enemy_weakened|player_cursed,10
